School,G,W,L,WLPct,Srs,Sos,Tm,Opp,Pace,ORtg,FTr,X3PAr,TsPct,TrbPct,AstPct,StlPct,BlkPct,EFgPct,TovPct,OrbPct,FtFga,Season,TeamId,SRS_scaled,ORtg_scaled,SRS_ORtg,SRS_ORtg_scaled
tennessee tech,31,10,21,0.323,-14.79,-6.04,2089,2289,67.6,98.9,0.309,0.359,0.538,46.2,50,7.4,7.6,0.508,16,18.8,0.219,2024,1399,10.8265092363359,19.5707070707071,84.11,30.397216307043
tennessee-martin,32,21,11,0.656,-5.34,-7.02,2609,2455,74.5,108.6,0.326,0.381,0.552,51.9,45.7,8.3,6.9,0.512,13.4,27.1,0.251,2024,1404,19.8247952770901,31.8181818181818,103.26,51.6429770952719
texas,32,20,12,0.625,16.04,9.39,2449,2236,68.2,111.8,0.304,0.348,0.57,50.7,56.5,10.5,11.7,0.537,14.5,30.5,0.23,2024,1400,40.1828223195582,35.8585858585858,127.84,76.041408178144
texas a&m,34,20,14,0.588,13.04,9.07,2543,2408,67.5,110.5,0.382,0.381,0.499,55.8,44.5,10.5,9,0.454,11.4,42,0.271,2024,1401,37.3262235764616,34.2171717171717,123.54,71.5433952936333
texas a&m-commerce,33,13,20,0.394,-14.02,-4.69,2361,2462,68.7,100.8,0.297,0.462,0.518,45.6,55.1,11.2,12.4,0.487,14.5,25.6,0.208,2024,,11.5597029137307,21.969696969697,86.78,33.5293998834277
texas a&m-corpus christi,32,21,11,0.656,-3.67,-6.92,2417,2127,71.2,105.7,0.358,0.299,0.522,54.5,54.8,12.3,8.7,0.484,14.4,34.3,0.253,2024,1394,21.4149685774138,28.1565656565657,102.03,49.5715342339795
texas southern,32,16,16,0.5,-9.08,-7.3,2245,2264,69.5,100.5,0.305,0.388,0.512,49.4,47.2,9.9,10.5,0.476,15.6,30.4,0.22,2024,1411,16.2635688440297,21.5909090909091,91.42,37.8544779349388
texas state,35,17,18,0.486,-3.4,-0.43,2445,2452,68.4,101.4,0.376,0.245,0.522,51.3,46.8,10.7,9.3,0.484,16.7,31.9,0.262,2024,1402,21.6720624642925,22.7272727272727,98,44.3993351915653
texas tech,33,23,10,0.697,15.97,9.73,2494,2288,67.2,112,0.346,0.411,0.569,50.9,57,9,7,0.528,14.4,30.2,0.269,2024,1403,40.1161683488859,36.1111111111111,127.97,76.227279459997
texas-rio grande valley,31,6,25,0.194,-13.35,-0.87,2181,2473,73.5,95,0.404,0.304,0.508,45.9,53.1,10.9,7.3,0.463,16.8,24.9,0.285,2024,1410,12.1976766330223,14.6464646464646,81.65,26.8441412794869
the citadel,32,11,21,0.344,-6.43,-2.81,2260,2289,67,105,0.338,0.337,0.546,51.4,43.8,8.3,7.4,0.515,15.7,28.5,0.238,2024,1154,18.786897733765,27.2727272727273,98.57,46.0596250064923
toledo,32,20,12,0.625,2,-1.88,2560,2436,70.2,113,0.353,0.286,0.569,50.1,46.7,10.3,5.3,0.531,13.2,29.3,0.266,2024,1405,26.8139402018663,37.3737373737374,115,64.1876775756037
towson,34,20,14,0.588,0.39,-2.07,2296,2164,63.2,105.6,0.347,0.341,0.509,56,46.6,9.7,12.3,0.479,15.5,39.9,0.23,2024,1406,25.2808988764045,28.030303030303,105.99,53.3112019067075
troy,32,20,12,0.625,1.5,-2.92,2546,2261,71.2,110,0.386,0.404,0.552,52.9,51,14.3,8.7,0.511,16,36,0.283,2024,1407,26.3378404113502,33.5858585858586,111.5,59.9236989972088
tulane,31,14,17,0.452,3.96,2.99,2540,2481,73.4,109.8,0.452,0.363,0.581,45.7,51.4,10.5,11.7,0.541,13.7,20.6,0.331,2024,1408,28.6802513806894,33.3333333333333,113.76,62.0135847140227
tulsa,31,16,15,0.516,-0.93,-0.73,2325,2290,71.4,103.8,0.404,0.412,0.549,48.1,50.3,10.9,9.1,0.506,16,24.8,0.297,2024,1409,24.023995429442,25.7575757575758,102.87,49.7815711870178
uab,34,23,11,0.676,5.2,3.62,2646,2558,68.8,111.5,0.399,0.314,0.547,52.3,50.5,9.6,12,0.502,14,35.4,0.297,2024,1412,29.8609788611693,35.479797979798,116.7,65.3407768409673
uc davis,33,20,13,0.606,-0.94,-2.46,2351,2246,68.1,103.8,0.387,0.378,0.549,49.7,51.4,11.4,9.7,0.506,17.2,29.6,0.289,2024,1413,24.0144734336317,25.7575757575758,102.86,49.7720491912074
uc irvine,33,24,9,0.727,7.3,-1.05,2564,2237,69.7,110.7,0.337,0.279,0.563,53.5,55.3,9.2,8.4,0.526,14.5,31.6,0.254,2024,1414,31.8605979813369,34.469696969697,118,66.3302949510339
uc riverside,34,16,18,0.471,-3.94,-0.91,2404,2448,67.7,104,0.285,0.426,0.499,51,53,8.3,3.8,0.464,11.9,31.1,0.204,2024,1415,21.1578746905351,26.010101010101,100.06,47.1679757006362
uc san diego,32,21,11,0.656,2.8,-2.27,2455,2213,67,113.2,0.323,0.426,0.567,50.4,48.5,9.3,7.5,0.531,12.5,27.9,0.245,2024,1471,27.5756998666921,37.6262626262626,116,65.2019624929547
uc santa barbara,31,16,15,0.516,-2.81,-2.64,2337,2280,69,108.4,0.402,0.308,0.583,52.1,50.5,7.1,8,0.546,16.8,26.4,0.296,2024,1364,22.2338602171015,31.5656565656566,105.59,53.7995167827581
ucf,32,17,15,0.531,12.79,8.73,2289,2159,69.2,103,0.372,0.358,0.517,52.1,46.8,12.6,15.4,0.477,15.3,32.9,0.263,2024,1416,37.0881736812036,24.7474747474747,115.79,61.8356484286783
ucla,33,16,17,0.485,7.72,8.07,2177,2160,64.8,101.9,0.354,0.303,0.512,50.9,48.3,9,10.9,0.469,14.4,30.4,0.258,2024,1417,32.2605218053704,23.3585858585859,109.62,55.6191076639563
unc asheville,34,22,12,0.647,-1.67,-2.73,2682,2485,70.3,111,0.41,0.389,0.576,49.5,58.9,8.4,11.2,0.536,14.7,28.1,0.304,2024,1421,23.3193677394782,34.8484848484848,109.33,58.1678525879631
unc greensboro,32,21,11,0.656,-0.1,-2.73,2422,2233,66.9,112.2,0.27,0.432,0.572,51.1,54.7,10.3,7.9,0.546,14.1,29.8,0.197,2024,1422,24.8143210816987,36.3636363636364,112.1,61.1779574453351
unc wilmington,31,21,10,0.677,1.44,-2.67,2461,2202,66.6,117.3,0.336,0.396,0.567,49.8,43.9,9.6,6.7,0.53,10.9,30.4,0.255,2024,1423,26.2807084364883,42.8030303030303,118.74,69.0837387395186
ut arlington,34,20,14,0.588,2.39,0.71,2614,2492,71.9,106.5,0.377,0.435,0.56,52.7,60.9,9.8,10.2,0.521,18.4,34,0.277,2024,1426,27.1852980384689,29.1666666666667,108.89,56.3519647051355
utah,33,19,14,0.576,14.98,9.56,2576,2397,70.7,109.2,0.274,0.399,0.554,51.8,59.3,8.4,10.2,0.537,14.2,28.3,0.178,2024,1428,39.1734907636641,32.5757575757576,124.18,71.7492483394216
utah state,33,27,6,0.818,12.16,4.74,2633,2319,69.1,113.7,0.393,0.331,0.58,52.9,57.4,9.6,11,0.548,14,29.3,0.281,2024,1429,36.4882879451533,38.2575757575758,125.86,74.7458637027291
utah tech,31,11,20,0.355,-8.09,-1.19,2194,2389,71.9,97.7,0.405,0.346,0.534,48.7,52,9.1,11.6,0.506,19.4,28.4,0.262,2024,,17.2062464292516,18.0555555555556,89.61,35.2618019848071
utah valley,32,16,16,0.5,-1.35,-0.05,2199,2195,69.2,98.6,0.354,0.292,0.509,50.7,59.6,10,11.9,0.474,15.4,28.5,0.239,2024,1430,23.6240716054085,19.1919191919192,97.25,42.8159907973277
utep,34,18,16,0.529,-1.29,-1.1,2470,2348,71.4,101,0.421,0.317,0.535,49,51.1,15.9,8.4,0.497,17.8,30.2,0.29,2024,1431,23.6812035802704,22.2222222222222,99.71,45.9034258024926
utsa,32,11,21,0.344,-4.97,-0.42,2483,2591,71.3,107.2,0.344,0.452,0.523,51.4,53,7,10.5,0.487,13.2,32.4,0.244,2024,1427,20.177109122072,30.0505050505051,102.23,50.227614172577
valparaiso,32,7,25,0.219,-8.16,1.26,2163,2416,69.3,97.6,0.24,0.368,0.495,46.3,48.2,8.9,9.3,0.466,13.9,26,0.172,2024,1434,17.1395924585793,17.9292929292929,89.44,35.0688853878722
vanderbilt,32,9,23,0.281,0.45,8.42,2173,2428,67.8,99.7,0.352,0.393,0.496,48.1,40.1,9,8.1,0.454,13.2,28.2,0.249,2024,1435,25.3380308512664,20.5808080808081,100.15,45.9188389320745
vermont,34,28,6,0.824,2.91,-3.9,2459,2141,65.6,109.9,0.291,0.445,0.56,50.9,53,8.8,10.7,0.533,12.4,23.2,0.21,2024,1436,27.6804418206056,33.459595959596,112.81,61.1400377802016
villanova,33,18,15,0.545,14.78,9.75,2327,2161,64.2,107.4,0.265,0.48,0.546,50.6,52.9,8.7,7.9,0.507,12.8,25.2,0.215,2024,1437,38.9830508474576,30.3030303030303,122.18,69.2860811504879
virginia,33,23,10,0.697,10.97,6.97,2098,1966,61.2,102.7,0.251,0.327,0.512,48.8,63.4,11.5,15.9,0.493,11.6,26,0.16,2024,1438,35.355170443725,24.3686868686869,113.67,59.7238573124119
virginia commonwealth,35,22,13,0.629,8.77,3.94,2503,2334,66.1,107.4,0.357,0.438,0.565,51.8,56.9,9.8,12.7,0.522,16.2,28.3,0.279,2024,1433,33.2603313654542,30.3030303030303,116.17,63.5633616684845
vmi,32,4,28,0.125,-20.44,-2.23,2204,2644,74.6,92,0.267,0.348,0.505,48.3,41,7.5,6.5,0.477,18.9,25.2,0.185,2024,1440,5.44658160350409,10.8585858585859,71.56,16.30516746209
virginia tech,32,18,14,0.563,11.78,7.84,2400,2274,67.9,110.5,0.331,0.421,0.58,50.2,57.9,7.8,6.7,0.541,14.6,25.2,0.262,2024,1439,36.1264521043611,34.2171717171717,122.28,70.3436238215328
wagner,31,16,15,0.516,-10.87,-9.52,1970,1925,62.9,99.8,0.262,0.384,0.487,51.1,56.2,9.4,7,0.454,13.3,30.7,0.186,2024,1447,14.5591315939821,20.7070707070707,88.93,35.2662023010528
wake forest,33,20,13,0.606,15.15,7.42,2580,2325,68.7,113,0.315,0.377,0.584,51.1,45,8.5,10.8,0.547,14,26.3,0.251,2024,1448,39.3353646924395,37.3737373737374,128.15,76.7091020661769
washington,32,17,15,0.531,12.07,8.61,2579,2468,72,109.8,0.321,0.368,0.565,49.9,51.8,7.8,9,0.535,14.1,27.1,0.232,2024,1449,36.4025899828604,33.3333333333333,121.87,69.7359233161937
washington state,33,24,9,0.727,14.28,6.85,2452,2207,66.7,110.6,0.317,0.32,0.549,54.4,45.7,7.8,12.5,0.521,13.8,32.9,0.222,2024,1450,38.5069510569415,34.3434343434343,124.88,72.8503854003759
weber state,32,20,12,0.625,-0.03,-3.69,2414,2161,66.8,112,0.354,0.401,0.575,49.9,46.3,10.3,4.8,0.539,13.1,23.8,0.265,2024,1451,24.880975052371,36.1111111111111,111.97,60.9920861634821
west virginia,32,9,23,0.281,4.24,11.27,2234,2459,68.7,100.8,0.371,0.374,0.532,48.5,54.4,6.3,10.2,0.495,16.2,26.7,0.262,2024,1452,28.9468672633784,21.969696969697,105.04,50.9165642330754
western carolina,32,22,10,0.688,2.14,-3.17,2459,2198,68.6,110.7,0.282,0.363,0.552,53.4,40.7,6.3,7.8,0.526,12.9,29.5,0.201,2024,1441,26.9472481432108,34.469696969697,112.84,61.4169451129078
western illinois,33,21,12,0.636,-8.47,-7.09,2272,2167,66.9,102.1,0.357,0.316,0.502,55.5,51,7.8,13.3,0.477,16.1,38.3,0.22,2024,1442,16.8444105884593,23.6111111111111,93.63,40.4555216995704
western kentucky,33,22,11,0.667,1.43,-3.4,2659,2444,76,106,0.335,0.32,0.554,52.1,45.1,10.2,8.6,0.522,15.9,28.8,0.241,2024,1443,26.271186440678,28.5353535353535,107.43,54.8065399760315
western michigan,32,12,20,0.375,-9.06,-3.55,2281,2396,68.6,102.7,0.311,0.391,0.52,51.8,50.5,7.6,7.3,0.499,16.3,33.8,0.195,2024,1444,16.2826128356504,24.3686868686869,93.64,40.6512997043372
wichita state,34,15,19,0.441,2.32,3.5,2475,2484,69.5,104,0.264,0.316,0.526,52.6,44.2,9,10.8,0.5,15.1,32.2,0.184,2024,1455,27.1186440677966,26.010101010101,106.32,53.1287450778976
william & mary,33,10,23,0.303,-11.14,-5.36,2305,2380,66.7,104.4,0.325,0.48,0.523,49.3,51.7,7.1,4.7,0.49,13.9,28.1,0.228,2024,1456,14.3020377071034,26.5151515151515,93.26,40.8171892222549
winthrop,32,17,15,0.531,-1.8,-3.24,2475,2287,68.3,110.7,0.486,0.395,0.57,51,46.5,9,8.3,0.531,16.1,31.8,0.341,2024,1457,23.195581793944,34.469696969697,108.9,57.665278763641
wisconsin,35,22,13,0.629,16.8,11.69,2627,2448,65.8,112.9,0.335,0.354,0.562,52.5,47.7,9.4,4.5,0.524,12.7,30.5,0.254,2024,1458,40.9064940011426,37.2474747474748,129.7,78.1539687486174
wofford,32,17,15,0.531,-3.71,-1.44,2384,2362,67.5,108.7,0.279,0.447,0.552,53,56.5,6.5,8,0.539,14.7,30.2,0.173,2024,1459,21.3768805941725,31.9444444444444,104.99,53.321325038617
wright state,32,18,14,0.563,0,-3.4,2767,2599,72.6,117.7,0.328,0.292,0.615,51.6,51.2,8.5,7.2,0.586,14.4,28.6,0.248,2024,1460,24.9095410398019,43.3080808080808,117.7,68.2176218478828
wyoming,32,15,17,0.469,0.96,4.99,2331,2383,67.9,106.4,0.391,0.369,0.56,50.8,47.3,7.5,7,0.519,16.4,29.1,0.289,2024,1461,25.8236526375928,29.0404040404041,107.36,54.8640566779969
xavier,33,16,17,0.485,12.24,10.94,2503,2460,71.4,106.2,0.32,0.32,0.528,51.5,59.9,9.8,8.4,0.49,13.9,32.1,0.238,2024,1462,36.5644639116359,28.7878787878788,118.44,65.3523426995147
yale,31,22,9,0.71,4.8,-0.61,2330,2065,66,112,0.269,0.348,0.555,53.4,53.9,8.9,10,0.53,12.2,29.5,0.191,2024,1463,29.4800990287564,36.1111111111111,116.8,65.5912101398675
youngstown state,32,22,10,0.688,1.2,-4.87,2598,2269,70.8,113.8,0.285,0.422,0.554,53.8,52.6,8.7,12.5,0.519,13.1,35,0.22,2024,1464,26.0521805370406,38.3838383838384,115,64.4360189208789
abilene christian,32,16,16,0.5,-5.47,-2.02,2260,2250,71.1,98.6,0.361,0.262,0.523,50.1,51.4,14.4,8.5,0.483,18,31.8,0.258,2025,1101,22.3107878037455,20.1631701631702,93.13,42.4739579669157
air force,32,4,28,0.125,-7.75,3.96,1982,2357,64.7,95,0.354,0.485,0.525,46.6,62.9,8.7,8.1,0.501,18.7,22.7,0.225,2025,1102,20.5463550533973,15.967365967366,87.25,36.5137210207633
akron,34,28,6,0.824,3.54,-4.52,2876,2534,72.4,116.3,0.259,0.461,0.583,53,59.2,10.6,9.8,0.557,14.2,33.5,0.195,2025,1103,29.2833926636744,40.7925407925408,119.84,70.0759334562151
alabama,33,25,8,0.758,25.96,16.26,3007,2687,76.2,118.7,0.401,0.462,0.594,54,54.1,7.9,10.1,0.563,14.3,34.7,0.287,2025,1104,46.6336480420988,43.5897435897436,144.66,90.2233916318423
alabama a&m,32,10,22,0.313,-20.36,-9.77,2337,2521,73,98.4,0.375,0.41,0.504,49.5,54.3,11.2,11.5,0.47,18.1,35.1,0.249,2025,1105,10.7878037455502,19.9300699300699,78.04,30.7178736756202
alabama state,34,19,15,0.559,-9.23,-8.93,2497,2456,69.5,105.3,0.297,0.428,0.507,47.8,45.8,11.2,8.2,0.476,11.2,28.9,0.206,2025,1106,19.4010215136976,27.972027972028,96.07,47.3730494857255
albany (ny),33,17,16,0.515,-9.45,-8.26,2463,2437,68.7,107.5,0.289,0.36,0.53,50.8,45.9,11.9,6.5,0.499,13.3,32.9,0.207,2025,1107,19.2307692307692,30.5361305361305,98.05,49.7668997668998
alcorn state,32,11,21,0.344,-13.79,-6.69,2081,2307,66.3,97.7,0.306,0.294,0.496,49.9,43.6,9.9,8.7,0.458,16.6,33.5,0.219,2025,1108,15.8721560130011,19.1142191142191,83.91,34.9863751272202
american,34,22,12,0.647,-7.01,-6.54,2334,2287,64.4,105.1,0.304,0.449,0.555,48.4,52.4,10.1,5.3,0.521,15.2,24.4,0.23,2025,1110,21.1190218232472,27.7389277389277,98.09,48.8579495621749
appalachian state,31,17,14,0.548,-2.47,-3.72,2102,1970,64.5,104.7,0.35,0.412,0.533,50.7,52.7,8.5,10.1,0.507,14.5,28.2,0.228,2025,1111,24.6324098436775,27.2727272727273,102.23,51.9051371164047
arizona,34,22,12,0.647,23.12,13.82,2779,2463,70.2,115.6,0.366,0.346,0.573,54.7,56.7,10.9,12,0.529,13.8,35.9,0.287,2025,1112,44.4358458442966,39.97668997669,138.72,84.4125358209865
arizona state,32,13,19,0.406,11.19,13.72,2366,2447,69.9,104.6,0.359,0.428,0.55,47.8,51.2,7.6,12.1,0.514,15.5,25.2,0.26,2025,1113,35.2035288655007,27.1561771561772,115.79,62.3597060216778
arkansas,33,20,13,0.606,16.64,11.18,2528,2348,70.4,108.3,0.355,0.367,0.563,50.6,53.2,10.8,15.4,0.527,14.6,27.6,0.261,2025,1116,39.4211422380436,31.4685314685315,124.94,70.8896737065751
arkansas state,34,24,10,0.706,5.22,-2.78,2692,2385,70.5,111.4,0.336,0.452,0.534,51.9,51.8,10.3,11.6,0.497,12.6,34.2,0.245,2025,1117,30.5835010060362,35.0815850815851,116.62,65.6650860876213
arkansas-pine bluff,31,6,25,0.194,-24.12,-8.22,2242,2602,73.1,99,0.32,0.379,0.529,46.8,54.2,9.7,6.3,0.515,17.5,26.9,0.19,2025,1115,7.87803745550224,20.6293706293706,74.88,28.5074080848729
army,31,16,15,0.516,-12.47,-7.26,2268,2327,67.7,105.5,0.253,0.421,0.53,48.6,52,9.6,6.3,0.507,13,27.3,0.173,2025,1119,16.8936697105711,28.2051282051282,93.03,45.0987979156993
auburn,33,28,5,0.848,29.57,15.33,2767,2297,68.9,121.3,0.335,0.406,0.588,52.6,55.5,10.1,16.5,0.557,11.5,34.3,0.248,2025,1120,49.4273332301501,46.6200466200466,150.87,96.0473798501967
austin peay,33,14,19,0.424,-9.15,-3.44,2362,2472,67.2,105.3,0.288,0.409,0.525,46.8,49.8,10.2,7.3,0.493,12.7,26.7,0.207,2025,1122,19.4629314347624,27.972027972028,96.15,47.4349594067904
ball state,31,14,17,0.452,-7.76,-6.3,2336,2300,69,108.4,0.457,0.373,0.559,50.9,52.1,7.1,6,0.519,14.8,27.7,0.322,2025,1123,20.5386163132642,31.5850815850816,100.64,52.1236978983458
baylor,33,19,14,0.576,19.42,13.57,2523,2282,66,113.6,0.306,0.399,0.552,52.4,53.9,11.4,8.7,0.518,13.7,36.2,0.228,2025,1124,41.5725119950472,37.6456876456876,133.02,79.2181996407348
bellarmine,31,5,26,0.161,-14.75,-4.37,2252,2484,67.6,106.6,0.255,0.445,0.576,46.5,53.9,9.3,5.5,0.548,16,21.2,0.197,2025,1468,15.1292369602229,29.4871794871795,91.85,44.6164164474024
belmont,33,22,11,0.667,2.04,-0.02,2618,2529,70.4,112.2,0.261,0.445,0.573,49.1,60.1,9.8,9.2,0.55,14,27.2,0.187,2025,1125,28.1225816437084,36.013986013986,114.24,64.1365676576944
bethune-cookman,33,17,16,0.515,-10.01,-6.5,2265,2381,69.6,98.6,0.359,0.339,0.517,49.8,52.9,9.6,9.7,0.482,17,28.8,0.248,2025,1126,18.7973997833153,20.1631701631702,88.59,38.9605699464854
binghamton,32,15,17,0.469,-13.23,-8.85,2233,2287,66.8,103.2,0.336,0.365,0.555,52.2,51.9,7.1,8.4,0.527,17.6,27.6,0.233,2025,1127,16.305525460455,25.5244755244755,89.97,41.8300009849306
boise state,34,24,10,0.706,13.88,5.85,2546,2246,65.9,113.2,0.392,0.425,0.571,56,56.5,8.1,7.5,0.525,14.5,33.5,0.305,2025,1129,37.2852499613063,37.1794871794872,127.08,74.4647371407935
boston college,31,12,19,0.387,0.1,5.49,2182,2349,66.8,102.4,0.315,0.33,0.524,49.1,45.3,7.6,10.5,0.489,15,28.8,0.226,2025,1130,26.6212660578858,24.5920745920746,102.5,51.2133406499604
boston university,32,16,16,0.5,-10.77,-8.15,2148,2191,64.1,103.1,0.312,0.422,0.534,54.2,49.6,9.3,8.2,0.51,17.4,32.8,0.207,2025,1131,18.2092555331992,25.4079254079254,92.33,43.6171809411246
bowling green state,32,14,18,0.438,-9.38,-5.95,2352,2366,70.1,104.8,0.337,0.401,0.546,49.5,44,10.3,9.6,0.508,15.4,26.5,0.251,2025,1132,19.284940411701,27.3892773892774,95.42,46.6742178009784
bradley,34,26,8,0.765,6.24,-0.04,2612,2339,66.5,113.9,0.314,0.429,0.599,51.1,53.7,9.9,11.5,0.57,15.2,26.8,0.237,2025,1133,31.3728524996131,37.995337995338,120.14,69.3681904949511
brigham young,33,24,9,0.727,19.8,9.71,2672,2339,67.8,117.3,0.302,0.483,0.593,54.3,59.9,10.4,9.8,0.572,15.1,33.3,0.213,2025,1140,41.8665841201053,41.958041958042,137.1,83.8246260781472
brown,27,14,13,0.519,-4.92,-4,1950,1933,67.4,105.7,0.278,0.409,0.534,50.4,55,8.7,14,0.517,14.7,30.8,0.175,2025,1135,22.7364185110664,28.4382284382284,100.78,51.1746469492949
bryant,34,23,11,0.676,-1.68,-7.55,2800,2511,73.5,111.7,0.299,0.354,0.549,53.4,49.5,9.1,14.5,0.52,13.8,34.9,0.214,2025,1136,25.2437703141929,35.4312354312354,110.02,60.6750057454283
bucknell,33,18,15,0.545,-5.08,-5.95,2443,2414,67.4,105,0.367,0.41,0.562,49.8,52,9.4,9.2,0.538,16.6,26,0.244,2025,1137,22.6125986689367,27.6223776223776,99.92,50.2349762913143
buffalo,31,9,22,0.29,-14.94,-3.7,2226,2508,73.3,98,0.338,0.439,0.527,47.1,54,9.2,8.8,0.493,17.6,25.1,0.237,2025,1138,14.9822008976939,19.4638694638695,83.06,34.4460703615633
butler,33,14,19,0.424,10.32,10.29,2437,2436,67.3,109.4,0.373,0.409,0.568,50.2,55.5,6,6.9,0.53,14.5,26.4,0.277,2025,1139,34.5302584739205,32.7505827505828,119.72,67.2808412245032
cal poly,35,16,19,0.457,-1.95,-0.15,2873,2901,75,107.9,0.267,0.509,0.583,48,52.9,10.3,5.6,0.554,18.2,28,0.205,2025,1142,25.034824330599,31.002331002331,105.95,56.03715533293
cal state bakersfield,33,14,19,0.424,-5.42,-1.74,2434,2430,67.6,108.3,0.343,0.295,0.538,53,39.2,10,9,0.494,15.5,36.7,0.264,2025,1167,22.3494815044111,31.4685314685315,102.88,53.8180129729425
cal state fullerton,32,6,26,0.188,-15.46,0.87,2024,2475,68.8,92,0.398,0.338,0.5,48.5,42.2,7.7,6.1,0.447,19,27.2,0.295,2025,1168,14.5797864107723,12.4708624708625,76.54,27.0506488816348
cal state northridge,32,22,10,0.688,2.66,-3.28,2580,2319,72.9,110.2,0.359,0.313,0.558,56.1,57.4,10.6,10.7,0.523,16,35.8,0.262,2025,1169,28.602383531961,33.6829836829837,112.86,62.2853672149447
california,33,14,19,0.424,5.85,7.06,2494,2534,67.8,108.1,0.389,0.378,0.526,51.8,41.2,9,9.3,0.478,13.9,34.7,0.29,2025,1143,31.0710416344219,31.2354312354312,113.95,62.3064728698531
california baptist,32,17,15,0.531,-0.72,-1.94,2280,2241,67.5,104.4,0.297,0.35,0.522,51.3,45.6,9.7,6.9,0.483,15,33.3,0.225,2025,1465,25.9866893669711,26.9230769230769,103.68,52.909766290048
campbell,32,15,17,0.469,-5.18,-4.74,2246,2169,66.5,105.1,0.303,0.413,0.544,48,54.3,10.3,8.8,0.506,14,24.6,0.234,2025,1144,22.5352112676056,27.7389277389277,99.92,50.2741390065334
canisius,31,3,28,0.097,-19,-5.16,2008,2437,66.2,97.8,0.233,0.414,0.54,41.6,47.7,9.3,7.2,0.512,17,18.3,0.177,2025,1145,11.8402724036527,19.2307692307692,78.8,31.0710416344219
central arkansas,33,9,24,0.273,-14.66,-3.79,2318,2578,67.9,101.1,0.28,0.482,0.513,49.3,55.4,10.6,8,0.48,15.3,29.4,0.201,2025,1146,15.1988856214208,23.0769230769231,86.44,38.2758086983439
central connecticut state,32,25,7,0.781,-4.16,-10.9,2312,2012,66.5,108.2,0.255,0.358,0.564,52.5,52.4,11.3,12.2,0.538,15,27,0.189,2025,1148,23.3245627611825,31.3519813519814,104.04,54.6765441131638
central michigan,31,14,17,0.452,-4.35,-2.65,2341,2237,69.6,107.7,0.362,0.338,0.553,52.7,50.3,10.5,8.7,0.517,15.2,32.1,0.262,2025,1141,23.1775266986535,30.7692307692308,103.35,53.9467574678842
charleston southern,32,10,22,0.313,-10.82,-2.15,2307,2503,69.6,102.3,0.448,0.424,0.526,51.9,47.7,6.7,6.3,0.49,16.5,32,0.296,2025,1149,18.1705618325337,24.4755244755245,91.48,42.6460863080581
charlotte,33,11,22,0.333,-5.11,-0.3,2328,2460,65.4,105.8,0.425,0.412,0.536,47.5,53.2,7.6,5.9,0.485,13.2,25.7,0.318,2025,1150,22.5893824485374,28.5547785547786,100.69,51.1441610033159
chattanooga,33,24,9,0.727,0.98,-4.18,2602,2375,67.5,115.4,0.303,0.458,0.594,50.1,60.5,10,8.7,0.564,13.4,26.3,0.233,2025,1151,27.3022751895991,39.7435897435897,116.38,67.0458649331889
chicago state,32,4,28,0.125,-20.79,-4.64,2001,2518,69,90,0.268,0.409,0.478,43.1,48.5,10.6,10.2,0.444,16.4,22.6,0.189,2025,1152,10.4550379198267,10.1398601398601,69.21,20.5948980596868
cincinnati,33,18,15,0.545,14.58,9.76,2328,2169,66.1,106.7,0.234,0.381,0.528,50.7,50.9,11.1,11.7,0.509,13.3,32.3,0.156,2025,1153,37.8269617706237,29.6037296037296,121.28,67.4306913743533
clemson,33,27,6,0.818,18.5,7.84,2519,2167,65,114.8,0.282,0.384,0.568,52.2,52.3,11.3,10.4,0.536,13.5,33.7,0.216,2025,1155,40.8605479028014,39.044289044289,133.3,79.9048369470905
cleveland state,33,21,12,0.636,-1.88,-4.04,2403,2178,66.8,108.5,0.303,0.328,0.537,50.8,52.2,13,14.9,0.505,14.8,35.4,0.22,2025,1156,25.0889955115307,31.7016317016317,106.62,56.7906272131624
coastal carolina,32,10,22,0.313,-12.04,-5.84,2136,2275,64.4,103.2,0.344,0.399,0.531,51.5,49.6,5.1,4.5,0.497,16,29.4,0.241,2025,1157,17.2264355362947,25.5244755244755,91.16,42.7509110607702
colgate,33,14,19,0.424,-7.47,-6.16,2379,2388,66.9,106.9,0.228,0.425,0.566,49.2,52.6,9.5,6.9,0.544,15,24,0.167,2025,1159,20.7630397771243,29.8368298368298,99.43,50.5998696139541
college of charleston,33,24,9,0.727,-0.32,-3.11,2549,2437,70.3,108.3,0.348,0.399,0.557,50.1,58.9,9.1,6.2,0.525,14.2,26.6,0.249,2025,1158,26.2962389722953,31.4685314685315,107.98,57.7647704408268
colorado,34,14,20,0.412,10.52,12.07,2377,2430,68.2,101.8,0.363,0.373,0.548,51.4,58.4,10.3,11.1,0.506,18.5,28.9,0.274,2025,1160,34.6850332765826,23.8927738927739,112.32,58.5778071693565
colorado state,34,25,9,0.735,13.9,5.75,2558,2281,66.3,112.2,0.318,0.428,0.592,52.4,62.8,7.6,8,0.558,15.5,26.4,0.246,2025,1161,37.3007274415725,36.013986013986,126.1,73.3147134555585
columbia,27,12,15,0.444,-8.94,-5.46,2117,2109,71.2,110.1,0.29,0.398,0.562,50.3,61,10.9,5.9,0.533,13.5,27.5,0.213,2025,1162,19.6254449775577,33.5664335664336,101.16,53.1918785439912
